Column,Unit,Value
Depth (ft),ft,Depth in ft
%Na,wt_pct,XRF Sodium
%Mg,wt_pct,XRF Magnesium
%Al,wt_pct,XRF Aluminum
%Si,wt_pct,XRF Silicon
%P,wt_pct,XRF Phosphorus
%S,wt_pct,XRF Sulfur
%K,wt_pct,XRF Potassium
%Ca,wt_pct,XRF Calcium
%Ti,wt_pct,XRF Titanium
%Mn,wt_pct,XRF Manganese
%Fe,wt_pct,XRF Iron
V,ppm,XRF Vanadium
Cr,ppm,XRF Chromium
Co,ppm,XRF Cobalt
Ni,ppm,XRF Nickel
Cu,ppm,XRF Copper
Zn,ppm,XRF Zinc
Ga,ppm,XRF Gallium
As,ppm,XRF Arsenic
Pb,ppm,XRF Lead
Th,ppm,XRF Thorium
Rb,ppm,XRF Ribidium
U,ppm,XRF Uranium
Sr,ppm,XRF Strontium
Y,ppm,XRF Yttrium
Zr,ppm,XRF Zirconium
Nb,ppm,XRF Niobium
Mo,ppm,XRF Molybdenum
Quartz,wt_pct,XRD Quartz
Dolomite,wt_pct,XRD Dolomite
Illite,wt_pct,XRD Illite
Calcite,wt_pct,XRD Calcite
Gypsum,wt_pct,XRD Gypsum
Microcline,wt_pct,XRD Microcline
Albite,wt_pct,XRD Albite
Pyrite,wt_pct,XRD Pyrite
Kaolinite,wt_pct,XRD Kaolinite